time,nose_x,nose_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_hip_x,left_hip_y,angle,posture
1773139674.478165,0.5366337895393372,0.6786117553710938,0.7312662601470947,0.9890123009681702,0.3960000276565552,0.9999066591262817,0.6691471934318542,1.857167363166809,143.81807932409768,Bad
1773139674.6668491,0.5375329852104187,0.6808192133903503,0.7434939742088318,0.9910284876823425,0.3983451724052429,0.9890065789222717,0.6804338693618774,1.8962785005569458,142.4333315430168,Bad
1773139674.75662,0.5386073589324951,0.6716570258140564,0.7433488965034485,0.9914914965629578,0.39744317531585693,0.9726831316947937,0.680071234703064,1.8993109464645386,143.38748984697983,Bad
1773139674.819315,0.539043664932251,0.6710281372070312,0.7428757548332214,0.9924805760383606,0.38974687457084656,0.9726995229721069,0.6786653995513916,1.90103018283844,143.57876051079762,Bad
1773139674.8899179,0.539503276348114,0.6711084842681885,0.750481367111206,0.9934451580047607,0.38976413011550903,0.9733322858810425,0.682547390460968,1.908589243888855,142.5487094774408,Bad
1773139674.955752,0.539511501789093,0.6717010140419006,0.7497369050979614,0.9933165311813354,0.3865322172641754,0.9614529013633728,0.680239737033844,1.9017919301986694,142.45465330553927,Bad
1773139675.020019,0.5404341220855713,0.6714240312576294,0.7563144564628601,0.9932833313941956,0.3918438255786896,0.962544322013855,0.6850137114524841,1.9001137018203735,141.6533927773709,Bad
1773139675.090156,0.5409455895423889,0.6716727614402771,0.7561416029930115,0.9931973814964294,0.3923434615135193,0.9550328850746155,0.6825584173202515,1.8992090225219727,141.56247848624872,Bad
1773139675.157034,0.5412302613258362,0.671698272228241,0.7546464204788208,0.9932823181152344,0.3908349871635437,0.9553019404411316,0.678324818611145,1.8989061117172241,141.61291295659825,Bad
1773139675.224478,0.5418884754180908,0.6718578934669495,0.7536903619766235,0.9934117197990417,0.3884769380092621,0.9557710886001587,0.6772252321243286,1.9023860692977905,141.81926318720411,Bad
1773139675.287951,0.5439472794532776,0.6718250513076782,0.7593282461166382,0.9941666126251221,0.38854795694351196,0.9596567749977112,0.6795385479927063,1.914529800415039,141.29530037428927,Bad
1773139675.358727,0.5439393520355225,0.6656776070594788,0.7590177655220032,0.9941696524620056,0.38349759578704834,0.9589952230453491,0.6769453287124634,1.9146559238433838,141.69030457655842,Bad
1773139675.420274,0.5439863204956055,0.6521016359329224,0.7579659223556519,0.9909082651138306,0.3790678381919861,0.9590109586715698,0.6810582280158997,1.9068701267242432,142.92526547681803,Bad
1773139675.490908,0.5439309477806091,0.6337743997573853,0.7566060423851013,0.9826161861419678,0.36267831921577454,0.9557042717933655,0.6761834025382996,1.9007724523544312,143.62513892261921,Bad
1773139675.5584362,0.5448297262191772,0.6079061031341553,0.7564075589179993,0.9784528017044067,0.35897892713546753,0.956916093826294,0.6762012839317322,1.892792820930481,145.2609616572704,Bad
1773139675.6273139,0.544874370098114,0.5737702250480652,0.7583845257759094,0.9724487066268921,0.35166510939598083,0.9593788385391235,0.677063524723053,1.8921949863433838,146.77619062987355,Bad
1773139675.698951,0.5459233522415161,0.5549078583717346,0.7594713568687439,0.9683279395103455,0.3421298861503601,0.9677936434745789,0.6826865077018738,1.8929380178451538,147.93456556694346,Bad
1773139675.7567759,0.5459166169166565,0.5414309501647949,0.7593916654586792,0.9687711596488953,0.32963085174560547,0.9783446192741394,0.6877624988555908,1.9049246311187744,149.0804508387701,Bad
1773139675.829215,0.5457441806793213,0.5358218550682068,0.7583208680152893,0.9691892266273499,0.3179357945919037,0.9827511310577393,0.6874602437019348,1.9048444032669067,149.5400309251408,Bad
1773139675.89446,0.5455368161201477,0.540214478969574,0.7581660747528076,0.9690633416175842,0.3158336281776428,0.983614981174469,0.6903927326202393,1.8998069763183594,149.46242481857658,Bad
1773139675.9648068,0.5455240607261658,0.5405170917510986,0.7580182552337646,0.9690586924552917,0.3159114122390747,0.9878502488136292,0.6937509179115295,1.8994441032409668,149.67380021340557,Bad
1773139676.028328,0.5442361831665039,0.5460935831069946,0.7579066753387451,0.9683668613433838,0.313668817281723,0.9909318685531616,0.6974605321884155,1.8965725898742676,149.43464090791062,Bad
1773139676.103478,0.5415231585502625,0.5479305982589722,0.7584553956985474,0.9684643745422363,0.3141321539878845,0.9929727911949158,0.7021636962890625,1.89653480052948,149.2420679302047,Bad
1773139676.159328,0.5397118330001831,0.5490379333496094,0.7593499422073364,0.9685547947883606,0.3144092559814453,0.9941493272781372,0.70588219165802,1.8991812467575073,149.0774595566549,Bad
1773139676.236303,0.5383074283599854,0.550637423992157,0.7595651149749756,0.9696295857429504,0.31150463223457336,0.9976390600204468,0.7063150405883789,1.907979130744934,148.91478199929344,Bad
1773139676.294079,0.5364232659339905,0.5511519312858582,0.7599834203720093,0.9727692604064941,0.3101353347301483,1.0002331733703613,0.7064083218574524,1.9131290912628174,148.80470087332478,Bad
1773139676.3694458,0.5363867282867432,0.5517239570617676,0.7600663304328918,0.9735540151596069,0.30962660908699036,1.0020564794540405,0.7065430879592896,1.9164304733276367,148.81582156684217,Bad
1773139676.426077,0.5364183783531189,0.551865816116333,0.7601054906845093,0.9735393524169922,0.3099537491798401,1.0028040409088135,0.7071875929832458,1.9172178506851196,148.84561611691507,Bad
